assists,evGoals,evPoints,faceoffWinPct,gameDate,gameId,gameWinningGoals,gamesPlayed,goals,homeRoad,lastName,opponentTeamAbbrev,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrev,timeOnIcePerGame
0,0,0,0.5,2024-01-27,2023020768,1,1,1,R,Matthews,WPG,0,0,8479318,1,1,1.0,C,1,1,0,0,0.33333,L,3,Auston Matthews,TOR,1146.0
0,1,1,0.46153,2024-01-24,2023020740,1,1,1,H,Matthews,WPG,1,0,8479318,1,1,1.0,C,0,0,0,0,0.33333,L,3,Auston Matthews,TOR,1245.0
0,1,1,0.6923,2024-01-21,2023020723,0,1,1,R,Matthews,SEA,0,0,8479318,2,1,1.0,C,0,0,0,0,0.2,L,5,Auston Matthews,TOR,1311.0
1,0,1,0.64285,2024-01-20,2023020712,0,1,0,R,Matthews,VAN,0,0,8479318,1,1,1.0,C,0,0,0,0,0.0,L,7,Auston Matthews,TOR,1393.0
1,3,3,0.5,2024-01-18,2023020697,1,1,3,R,Matthews,CGY,0,0,8479318,3,4,4.0,C,0,1,0,0,0.6,L,5,Auston Matthews,TOR,1237.0
1,1,2,0.41176,2024-01-16,2023020688,0,1,1,R,Matthews,EDM,0,0,8479318,-1,2,2.0,C,0,0,0,0,0.5,L,2,Auston Matthews,TOR,1383.0
0,0,0,0.65217,2024-01-14,2023020670,0,1,0,H,Matthews,DET,0,0,8479318,0,0,0.0,C,0,0,0,0,0.0,L,4,Auston Matthews,TOR,1262.0
0,0,0,0.5,2024-01-13,2023020662,0,1,0,H,Matthews,COL,0,0,8479318,-3,0,0.0,C,0,0,0,0,0.0,L,1,Auston Matthews,TOR,1272.0
0,2,2,0.55555,2024-01-11,2023020646,0,1,2,R,Matthews,NYI,0,2,8479318,1,2,2.0,C,0,0,0,0,0.5,L,4,Auston Matthews,TOR,1118.0
0,0,0,0.64285,2024-01-09,2023020627,1,1,1,H,Matthews,SJS,0,0,8479318,2,1,1.0,C,1,1,0,0,0.33333,L,3,Auston Matthews,TOR,953.0
0,0,0,0.64285,2024-01-06,2023020613,0,1,0,R,Matthews,SJS,0,0,8479318,0,0,0.0,C,0,0,0,0,0.0,L,2,Auston Matthews,TOR,1141.0
0,1,1,0.5909,2024-01-03,2023020588,1,1,1,R,Matthews,ANA,1,0,8479318,1,1,1.0,C,0,0,0,0,0.07692,L,13,Auston Matthews,TOR,1511.0
0,0,0,0.41666,2024-01-02,2023020585,0,1,0,R,Matthews,LAK,0,0,8479318,1,0,0.0,C,0,0,0,0,0.0,L,3,Auston Matthews,TOR,1148.0
0,0,0,0.66666,2023-12-30,2023020561,0,1,0,H,Matthews,CAR,0,2,8479318,-1,0,0.0,C,0,0,0,0,0.0,L,5,Auston Matthews,TOR,1349.0
1,1,1,0.54545,2023-12-29,2023020546,0,1,1,R,Matthews,CBJ,0,0,8479318,2,2,2.0,C,0,1,0,0,0.25,L,4,Auston Matthews,TOR,1427.0
1,0,1,0.5238,2023-12-27,2023020531,0,1,0,H,Matthews,OTT,0,0,8479318,-2,1,1.0,C,0,0,0,0,0.0,L,3,Auston Matthews,TOR,1428.0
1,1,1,0.52941,2023-12-23,2023020517,0,1,2,R,Matthews,CBJ,0,0,8479318,2,3,3.0,C,1,1,0,1,0.4,L,5,Auston Matthews,TOR,1079.0
0,1,1,0.44444,2023-12-21,2023020498,0,1,1,R,Matthews,BUF,0,0,8479318,-1,1,1.0,C,0,0,0,0,1.0,L,1,Auston Matthews,TOR,1099.0
0,2,2,0.46153,2023-12-19,2023020489,0,1,2,H,Matthews,NYR,0,0,8479318,1,2,2.0,C,0,0,0,0,0.4,L,5,Auston Matthews,TOR,1116.0
